people_id,event_id,datetime,concept:name,sex,occupation,Group_identifier,Outcome1,Outcome2,Outcome3
100599,75604774,1/2/2023 12:27,Enrolled,Males,employed(casual),0,1,0,1
100599,48868189,1/30/2023 7:58,Presented_Exam,Males,employed(casual),0,1,0,1
100599,66607262,2/5/2023 10:14,Attended_tutorial,Males,employed(casual),0,1,0,1
100599,66607262,3/27/2023 17:41,Attended_tutorial,Males,employed(casual),0,1,0,1
100599,73783961,4/7/2023 17:00,Attended_lecture,Males,employed(casual),0,1,0,1
100599,48868189,4/14/2023 12:04,Presented_Exam,Males,employed(casual),0,1,0,1
100599,73783961,6/6/2023 23:33,Attended_lecture,Males,employed(casual),0,1,0,1
100599,48868189,8/14/2023 12:25,Presented_Exam,Males,employed(casual),0,1,0,1
100599,70716667,9/3/2023 23:53,Submitted_Assignments,Males,employed(casual),0,1,0,1
100599,75604774,9/11/2023 21:04,Enrolled,Males,employed(casual),0,1,0,1
100599,48868189,9/27/2023 2:58,Presented_Exam,Males,employed(casual),0,1,0,1
100599,66607262,9/30/2023 16:09,Attended_tutorial,Males,employed(casual),0,1,0,1
100599,75604774,10/25/2023 13:08,Enrolled,Males,employed(casual),0,1,0,1
100599,70716667,11/1/2023 1:39,Submitted_Assignments,Males,employed(casual),0,1,0,1
100599,70716667,12/2/2023 15:26,Submitted_Assignments,Males,employed(casual),0,1,0,1
100599,75604774,12/20/2023 20:09,Enrolled,Males,employed(casual),0,1,0,1
102260,66607262,3/14/2023 20:46,Attended_tutorial,Females,na,1,0,1,1
102260,73783961,8/7/2023 23:00,Attended_lecture,Females,na,1,0,1,1
102260,75604774,8/14/2023 17:19,Enrolled,Females,na,1,0,1,1
102260,70716667,10/4/2023 17:29,Submitted_Assignments,Females,na,1,0,1,1
102260,70716667,10/11/2023 18:15,Submitted_Assignments,Females,na,1,0,1,1
103402,48868189,2/24/2023 20:19,Presented_Exam,Females,employed(part-time),0,1,0,0
103402,48868189,3/10/2023 23:35,Presented_Exam,Females,employed(part-time),0,1,0,0
103402,70716667,3/13/2023 3:52,Submitted_Assignments,Females,employed(part-time),0,1,0,0
103402,70716667,5/27/2023 21:59,Submitted_Assignments,Females,employed(part-time),0,1,0,0
103402,66607262,5/30/2023 22:30,Attended_tutorial,Females,employed(part-time),0,1,0,0
103402,48868189,6/14/2023 11:38,Presented_Exam,Females,employed(part-time),0,1,0,0
103402,75604774,7/19/2023 1:23,Enrolled,Females,employed(part-time),0,1,0,0
103402,66607262,7/29/2023 5:54,Attended_tutorial,Females,employed(part-time),0,1,0,0
103402,48868189,8/5/2023 12:02,Presented_Exam,Females,employed(part-time),0,1,0,0
103402,66607262,8/7/2023 2:30,Attended_tutorial,Females,employed(part-time),0,1,0,0
103402,48868189,8/8/2023 19:09,Presented_Exam,Females,employed(part-time),0,1,0,0
103402,73783961,8/17/2023 4:14,Attended_lecture,Females,employed(part-time),0,1,0,0
103402,73783961,9/5/2023 5:52,Attended_lecture,Females,employed(part-time),0,1,0,0
103402,75604774,9/10/2023 21:47,Enrolled,Females,employed(part-time),0,1,0,0
103402,66607262,10/20/2023 22:43,Attended_tutorial,Females,employed(part-time),0,1,0,0
103402,50253107,11/12/2023 5:39,Recieved_Results,Females,employed(part-time),0,1,0,0
103402,70716667,12/13/2023 1:55,Submitted_Assignments,Females,employed(part-time),0,1,0,0
